# Completeness = 108945 / 117955
_RAJ2000	_DEJ2000	HIP	RAhms	DEdms	Vmag	RA(ICRS)	DE(ICRS)	Plx	pmRA	pmDE	e_Plx	B-V	Notes
45.150406	5.986063	14023	030035.69	+055911.2	8.11	45.14869976	5.98644696	30.87	698.12	-157.87	1.42	0.838	
41.319822	5.560478	12856	024516.73	+053339.6	10.58	41.31971185	5.56099637	28.45	45.25	-213.24	7.97	1.095	G
43.172473	3.280563	13412	025241.33	+031650.1	12.08	43.17222328	3.28057994	25.49	102.51	-6.79	5.65	1.456	
43.166053	5.717277	13410	025239.90	+054304.8	10.32	43.16624567	5.71800653	22.84	-78.92	-300.21	1.81	1.034	
44.057374	8.381563	13679	025613.73	+082254.4	5.97	44.05720205	8.38177807	22.46	69.83	-88.32	0.89	0.478	
44.312331	1.887326	13773	025714.90	+015315.3	7.56	44.31208922	1.88757198	20.12	99.25	-101.38	1.50	0.577	
44.030650	7.922539	13674	025607.25	+075521.5	9.93	44.03019299	7.92265055	19.81	186.30	-46.04	4.00	1.055	
41.337109	4.711629	12862	024520.87	+044242.2	6.04	41.33694010	4.71173043	19.50	69.35	-41.63	0.90	0.312	
51.119224	6.985016	15875	032428.63	+065906.3	10.28	51.11928686	6.98509043	24.70	-25.72	-30.67	2.19	1.280	
49.562916	9.245150	15374	031815.03	+091442.4	11.91	49.56261220	9.24511119	24.54	123.52	15.81	3.95	1.341	
54.001431	8.760196	16786	033600.33	+084536.5	12.45	54.00136742	8.76013760	22.94	25.99	23.86	5.61	1.444	
49.646677	10.312375	15401	031835.12	+101845.3	12.25	49.64631322	10.31257186	22.66	147.35	-80.83	4.44	1.485	
49.386587	7.690152	15310	031732.68	+074124.6	7.78	49.38616926	7.69017037	21.64	170.41	-7.48	1.33	0.617	
49.359950	7.655808	15304	031726.29	+073921.0	7.38	49.35953450	7.65582608	20.20	169.30	-7.64	1.18	0.567	
50.154178	9.033552	15572	032036.83	+090201.3	8.46	50.15347162	9.03370429	19.71	287.04	-62.85	1.32	0.690	
42.928571	10.645011	13342	025142.93	+103843.2	10.01	42.92886981	10.64534718	36.22	-120.72	-138.18	2.04	1.190	
41.088990	10.961464	12787	024421.32	+105741.6	10.98	41.08882575	10.96154942	29.78	66.21	-34.97	3.02	1.400	
36.889058	7.712065	11443	022733.31	+074245.1	9.91	36.88880173	7.71252788	29.13	104.50	-190.56	1.83	0.952	
39.157982	12.447639	12153	023637.75	+122652.2	5.64	39.15728620	12.44784628	28.40	279.53	-85.40	0.87	0.516	
37.763669	8.381991	11707	023103.06	+082255.9	10.90	37.76274694	8.38220250	28.19	375.11	-87.00	2.33	1.340	
38.268986	7.828438	11862	023304.43	+074943.1	12.00	38.26845641	7.82862873	27.61	216.03	-78.30	3.52	1.500	
36.847455	10.198326	11427	022723.56	+101155.7	6.45	36.84818295	10.19881767	27.50	-294.97	-202.12	0.87	0.450	
47.184607	15.334827	14614	030844.26	+152007.1	7.85	47.18443378	15.33530084	24.44	68.85	-194.89	1.04	0.642	
44.049944	13.913012	13678	025612.04	+135447.5	9.03	44.05015070	13.91318803	23.04	-82.41	-72.34	1.54	0.810	
47.498629	15.373237	14705	030959.73	+152226.1	9.06	47.49887372	15.37391985	21.30	-96.99	-281.02	1.37	0.825	
47.517196	12.996819	14711	031004.20	+125950.0	11.13	47.51749664	12.99721937	20.47	-120.41	-164.81	2.77	1.010	
45.694003	12.354023	14175	030246.44	+122114.4	10.21	45.69351478	12.35398828	19.33	196.19	14.14	1.71	1.382	
43.817850	17.891710	13600	025516.21	+175330.3	8.83	43.81754922	17.89174217	18.89	117.79	-13.20	1.29	0.704	
49.613070	15.177348	15394	031827.14	+151041.1	7.42	49.61307392	15.17808022	17.54	-1.48	-301.25	1.28	0.790	
52.946408	14.321593	16445	033147.11	+141923.6	12.26	52.94631242	14.32323236	41.67	37.91	-674.56	9.10	1.550	
55.653684	17.293495	17336	034236.96	+171736.3	7.07	55.65401136	17.29342647	38.75	-128.77	28.38	0.99	0.659	
57.137234	15.201997	17794	034832.88	+151208.0	9.45	57.13699453	15.20221478	28.41	95.08	-89.59	1.90	1.080	
58.755996	12.485588	18322	035501.36	+122908.2	10.12	58.75567862	12.48561161	26.49	127.58	-9.65	1.98	1.070	
58.777092	16.998476	18327	035506.41	+165954.7	8.99	58.77671455	16.99853743	24.16	148.37	-25.09	1.40	0.895	
58.291860	17.327083	18170	035309.96	+171937.8	5.97	58.29149356	17.32715595	24.14	143.97	-29.93	0.90	0.354	
54.013240	16.467408	16788	033603.35	+162805.1	7.65	54.01396137	16.46808013	22.25	-284.52	-276.33	1.14	0.580	
57.595701	17.476366	17960	035022.90	+172837.1	7.50	57.59540957	17.47697953	21.50	114.24	-252.31	1.03	0.653	
61.755103	15.335032	19207	040701.15	+152006.3	10.49	61.75479366	15.33507766	23.57	122.63	-18.96	2.26	1.180	
64.741563	19.906701	20130	041857.90	+195424.4	8.62	64.74126891	19.90678965	23.53	113.95	-36.39	1.25	0.745	
62.676518	18.423253	19504	041042.29	+182524.0	6.61	62.67620064	18.42332910	23.22	123.92	-31.41	0.92	0.427	
66.465532	18.864063	20686	042551.66	+185150.9	8.07	66.46524697	18.86414516	23.08	110.87	-33.75	1.22	0.680	
60.912660	19.455010	18946	040338.96	+192718.3	10.12	60.91235280	19.45509359	23.07	119.02	-34.19	2.12	1.095	
65.054030	19.233480	20237	042012.90	+191400.8	7.46	65.05373248	19.23356253	22.27	115.67	-34.02	0.93	0.560	
