# Completeness = 0 / 24
_RAJ2000	_DEJ2000	HIP	RAhms	DEdms	Vmag	RA(ICRS)	DE(ICRS)	Plx	pmRA	pmDE	e_Plx	B-V	Notes
162.920592	-8.069896	53090	105140.99	-080411.7	8.74	162.92077135	-8.06990382	5.15	-72.90	3.28	1.24	0.480	
163.690026	-8.378891	53364	105445.62	-082244.0	7.99	163.69008629	-8.37887984	4.72	-24.35	-4.44	1.06	0.085	
164.407397	-8.286652	53575	105737.77	-081711.9	8.76	164.40738822	-8.28664950	4.25	3.56	-1.21	1.29	1.245	
164.936002	-7.576068	53738	105944.66	-073433.9	8.74	164.93608584	-7.57608149	4.10	-34.31	5.47	1.86	1.025	
162.556561	-8.988398	52979	105013.58	-085918.6	7.50	162.55659873	-8.98849768	3.46	-15.45	41.01	0.97	1.021	
163.847677	-6.960573	53406	105523.47	-065738.1	8.35	163.84778817	-6.96057903	2.89	-45.22	2.50	1.34	1.055	
161.506678	-6.457246	52654	104601.62	-062726.1	8.72	161.50673649	-6.45725880	2.54	-24.11	5.20	1.29	1.011	
163.656590	-8.704340	53348	105437.60	-084215.6	8.95	163.65664846	-8.70434058	2.29	-23.93	0.15	1.33	1.300	
164.279923	-6.497474	53529	105707.19	-062951.0	9.02	164.27995722	-6.49751267	2.22	-13.99	15.79	1.67	0.476	
163.299863	-9.344473	53223	105311.94	-092039.9	8.37	163.29973240	-9.34441010	1.88	53.10	-26.04	1.11	1.058	
162.161639	-8.295032	52860	104838.79	-081741.9	9.03	162.16163317	-8.29497409	1.73	2.29	-23.91	1.41	1.089	
161.394584	-7.580644	52617	104534.70	-073450.2	9.30	161.39458072	-7.58062292	1.62	1.22	-8.72	1.37	0.040	
164.624614	-7.055187	53645	105829.92	-070318.6	9.20	164.62467615	-7.05515619	1.16	-25.29	-12.84	1.60	1.150	
162.737960	-8.887222	53027	105057.12	-085314.0	8.10	162.73798426	-8.88721931	1.14	-10.03	-1.15	1.03	0.089	
163.549284	-6.729589	53309	105411.83	-064346.6	8.59	163.54930638	-6.72962433	0.60	-9.09	14.41	1.24	1.205	
