# Completeness = 0 / 35
_RAJ2000	_DEJ2000	HIP	RAhms	DEdms	Vmag	RA(ICRS)	DE(ICRS)	Plx	pmRA	pmDE	e_Plx	B-V	Notes
200.587485	24.300861	65252	132220.99	+241803.3	9.65	200.58746222	24.30091398	7.72	8.44	-21.93	1.45	0.619	
199.655213	26.365792	64936	131837.25	+262156.7	7.79	199.65520196	26.36575790	7.53	4.19	14.02	1.06	0.280	
199.861000	22.827685	65005	131926.66	+224940.0	8.45	199.86108352	22.82777288	7.04	-31.82	-36.06	1.17	0.486	
198.035039	24.258027	64417	131208.42	+241529.3	6.31	198.03509815	24.25812901	6.35	-22.32	-41.79	0.78	1.006	
201.160419	24.619817	65430	132438.51	+243711.3	9.56	201.16044731	24.61981888	6.05	-10.44	-0.82	1.43	0.463	
201.874867	24.312078	65643	132729.99	+241843.1	8.90	201.87495273	24.31198413	5.82	-31.96	38.46	1.12	0.330	
201.937287	24.404245	65661	132744.94	+242415.5	8.65	201.93722973	24.40431150	5.78	21.34	-27.23	1.10	0.344	
201.351646	25.548572	65495	132524.39	+253254.9	8.79	201.35163177	25.54858558	5.57	5.29	-5.58	1.06	0.257	
200.944783	25.547921	65366	132346.78	+253252.4	7.39	200.94490200	25.54789394	5.03	-44.30	11.10	0.87	1.024	
201.889414	25.009119	65648	132733.46	+250032.8	9.25	201.88943008	25.00912121	4.55	-5.99	-1.03	1.24	1.020	
199.560599	26.292280	64907	131814.56	+261732.4	8.83	199.56066785	26.29233970	4.31	-25.50	-24.39	1.23	0.376	
200.088565	23.610698	65075	132021.33	+233638.1	9.89	200.08886933	23.61057133	4.24	-114.61	51.94	1.81	0.571	
197.253074	24.493611	64161	130900.74	+242937.0	10.19	197.25308298	24.49360586	4.11	-3.48	2.32	3.65	0.478	
201.213275	24.888805	65451	132451.20	+245319.9	9.95	201.21333918	24.88885325	4.10	-24.05	-20.00	1.48	0.451	
200.486711	25.998169	65217	132156.81	+255953.3	7.60	200.48671470	25.99814394	3.70	-1.23	10.39	0.96	0.990	
199.093021	24.203792	64767	131622.30	+241213.8	10.28	199.09291534	24.20383951	3.53	39.73	-19.52	1.58	0.724	
199.694108	26.317269	64946	131846.58	+261902.3	8.97	199.69408908	26.31730657	3.49	7.03	-15.44	1.33	1.090	
197.932993	25.204051	64382	131143.95	+251214.2	10.30	197.93314027	25.20394196	2.91	-54.91	44.69	1.51	0.747	
199.843667	25.129331	64997	131922.50	+250745.5	9.30	199.84373139	25.12930002	2.74	-24.09	12.57	1.24	0.920	
198.592461	25.680983	64592	131422.20	+254051.4	10.18	198.59248466	25.68095560	2.65	-8.95	11.41	1.46	0.487	
199.964191	23.636468	65037	131951.40	+233811.3	9.23	199.96416935	23.63647851	2.42	8.11	-4.51	1.45	0.388	
198.757226	23.050646	64644	131501.74	+230302.4	8.88	198.75724845	23.05067602	1.93	-8.66	-12.46	1.16	1.200	
197.356614	24.323639	64196	130925.64	+241925.3	10.12	197.35683906	24.32368438	1.40	-84.51	-18.73	1.54	0.057	
198.034318	24.608938	64416	131208.23	+243632.3	9.38	198.03430758	24.60897021	1.36	3.80	-13.09	1.22	1.240	
199.379768	23.644921	64841	131731.15	+233841.6	9.56	199.37977335	23.64488077	1.31	-1.84	16.41	1.24	0.173	
200.287824	23.497304	65156	132109.07	+232950.4	8.88	200.28779486	23.49732385	-0.14	11.02	-8.31	1.50	0.970	
